pseudocode,state,district,block,rural_urban,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,lgd_block_name,school_category,school_type,lowclass,highclass,managment,pincode,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_yn,avg_instr_days,cce_yn,same_sch_b,same_sch_g,other_sch_b,other_sch_g,anganwadi_ecce_b,anganwadi_ecce_g
4159584,"KERALA","KOZHIKODE","KOZHIKODE",2,"Feroke_Municipality","Kottappadam",,,,2,3,1,7,1,673631,2,2,3,0,2,19,8,0,0,0,0,1,1,2,192,1,30,25,0,1,2,0
1827170,"KERALA","KOZHIKODE","KOZHIKODE URC",2,"Kozhikode_Municipal Corporations","Vellimadukunnu",,,,3,3,1,12,1,673012,2,2,3,0,2,8,19,0,0,2,2,1,1,2,181,1,0,0,0,0,2,1
8853195,"KERALA","KOZHIKODE","CHELANNUR",1,,,"Kakkodi (Ct)","Kakkodi","CHELANNUR",4,3,5,7,1,673611,2,2,3,0,2,8,19,0,0,0,0,1,9,0,0,1,0,0,0,0,0,0
1557146,"KERALA","KOZHIKODE","BALUSSERY",1,,,"Unnikulam","Unnikulum","BALUSSERI",2,3,1,7,1,673574,2,2,3,0,2,8,19,0,0,0,0,1,2,2,188,2,0,0,17,14,3,5
1403210,"KERALA","KOZHIKODE","MELADY",2,"Payyoli_Municipality","Payyoli Beach",,,,2,3,1,5,1,673522,2,2,3,0,2,8,0,0,0,0,0,1,1,2,189,1,2,3,0,0,0,0
2128749,"KERALA","KOZHIKODE","KOZHIKKODE URC SOUTH",2,"Kozhikode_Municipal Corporations","Chalappuram",,,,2,3,1,7,1,673003,2,2,3,0,2,8,0,0,0,0,0,1,1,2,200,1,10,5,1,1,0,0
5067347,"KERALA","KOZHIKODE","KODUVALLY",1,,,"Kattippara","Kattippara","KODUVALLY",2,3,1,5,1,673573,2,2,3,0,2,8,19,0,0,0,0,2,1,2,187,1,17,11,4,1,1,2
9534623,"KERALA","KOZHIKODE","KOZHIKODE URC",2,"Kozhikode_Municipal Corporations","Chakkorathkulam",,,,2,3,1,7,1,673005,2,2,3,0,2,8,0,0,0,0,0,1,1,1,0,1,3,2,0,0,3,0
9872869,"KERALA","KOZHIKODE","KODUVALLY",2,"Koduvally_Municipality","Karuvinpoyyil West",,,,2,3,1,7,1,673572,2,2,3,0,2,8,19,0,0,0,0,1,1,2,198,1,13,18,18,16,1,2
6263479,"KERALA","KOZHIKODE","PANTHALAYANI",1,,,"Chemancheri (Ct)","Chemanachery","PANTHALAYANI",2,3,1,7,1,673304,2,2,3,0,2,8,19,0,0,0,0,1,2,2,196,1,0,0,0,1,12,3
7853175,"KERALA","KOZHIKODE","KOZHIKODE",2,"Feroke_Municipality","Feroke",,,,5,3,5,12,1,673631,2,2,3,0,2,8,19,0,0,2,2,1,9,0,196,1,0,0,0,0,0,0
7053878,"KERALA","KOZHIKODE","KODUVALLY",2,"Koduvally_Municipality","Vennakkad",,,,2,3,1,7,1,673572,2,2,3,0,2,8,19,0,0,0,0,1,1,2,0,1,29,21,11,8,0,0
8045734,"KERALA","KOZHIKODE","MAVOOR",1,,,"Kodiyathur","Kodiyathur","KUNNAMANGALAM",2,3,1,7,1,673602,2,2,3,0,2,8,0,0,0,0,0,1,1,2,187,1,13,12,10,8,4,0
2965365,"KERALA","KOZHIKODE","KOZHIKODE URC",2,"Kozhikode_Municipal Corporations","Erannikkal",,,,2,3,1,5,1,673303,2,2,3,0,2,8,0,0,0,0,0,1,1,2,206,1,6,4,2,2,0,0
8979508,"KERALA","KOZHIKODE","VATAKARA",1,,,"Onchiam","Onchiyam","VADAKARA",5,3,5,12,1,673102,2,2,3,0,2,8,19,0,0,2,2,1,9,0,0,1,0,0,0,0,0,0
8795226,"KERALA","KOZHIKODE","MELADY",2,"Payyoli_Municipality","Aruvayil South",,,,8,3,8,10,1,673521,2,2,3,0,2,19,0,0,0,2,0,1,9,0,0,1,0,0,0,0,0,0
2760480,"KERALA","KOZHIKODE","PANTHALAYANI",2,"koyilandy_Municipality","VIRUNNU KANDI",,,,2,3,1,7,1,673620,2,2,3,0,2,8,0,0,0,0,0,1,1,2,0,1,0,0,0,0,3,4
8148520,"KERALA","KOZHIKODE","KOZHIKODE",2,"Feroke_Municipality","Chanthakkadavu",,,,2,3,1,5,1,673631,2,2,3,0,2,8,19,0,0,0,0,1,1,2,0,1,16,11,2,3,0,0
8196042,"KERALA","KOZHIKODE","KOZHIKKODE URC SOUTH",2,"Kozhikode_Municipal Corporations","Panniyankara",,,,2,3,1,7,1,673003,2,2,3,0,2,8,0,0,0,0,0,1,1,1,0,1,5,3,0,0,0,0
5101299,"KERALA","KOZHIKODE","VATAKARA",1,,,"Chorode (Ct)","Chorode","VADAKARA",2,3,1,5,1,673106,2,2,3,0,2,8,0,0,0,0,0,1,1,2,189,1,2,3,0,0,0,0
7636123,"KERALA","KOZHIKODE","THUNERI",1,,,"Nadapuram (Ct)","Nadapuram","THUNERI",2,3,1,7,1,673504,2,2,3,0,2,8,19,0,0,0,0,1,1,2,187,1,12,13,4,4,0,0
6691147,"KERALA","KOZHIKODE","PERAMBRA",1,,,"Cheruvannur","Cheruvannur","PERAMBRA",7,3,5,10,1,673524,2,2,3,0,2,8,19,0,0,2,0,1,9,0,200,1,0,0,0,0,0,0
5599738,"KERALA","KOZHIKODE","MAVOOR",1,,,"Chathamangalam","Chathamangalam","KUNNAMANGALAM",3,3,1,12,1,673601,2,2,3,0,2,8,19,0,0,2,2,1,1,2,30,1,0,3,0,0,1,1
9392874,"KERALA","KOZHIKODE","MAVOOR",1,,,"Kodiyathur","Kodiyathur","KUNNAMANGALAM",3,3,1,12,1,673661,2,2,3,0,2,8,19,0,0,2,2,1,1,2,194,1,10,12,14,25,0,0
7393827,"KERALA","KOZHIKODE","THUNERI",1,,,"Valayam (Ct)","Valayam","THUNERI",5,3,5,12,1,673517,2,2,3,0,2,8,19,0,0,2,2,1,9,0,192,1,0,0,0,0,0,0
7363220,"KERALA","KOZHIKODE","KUNNAMANGALAM",2,"","",,,,2,3,1,7,1,673582,2,2,3,0,2,8,0,0,0,0,0,1,1,2,195,1,4,4,0,0,1,0
1921048,"KERALA","KOZHIKODE","KOZHIKODE",1,,,"Pantheeramkavu (Ct)","Olavanna","KOZHIKODE",2,3,1,7,1,673019,2,2,3,0,2,8,19,0,0,0,0,1,1,2,0,1,28,23,3,3,3,3
5996256,"KERALA","KOZHIKODE","MAVOOR",1,,,"Mavoor (Ct)","Mavoor","KUNNAMANGALAM",2,3,1,7,1,673661,2,2,3,0,2,8,19,0,0,0,0,1,2,2,0,1,0,0,4,4,21,15
4046805,"KERALA","KOZHIKODE","KUNNUMMAL",1,,,"Kunnummal (Ct)","Kunnumal","KUNNUMMAL",2,3,1,7,1,673507,2,2,3,0,2,8,19,0,0,0,0,1,1,2,0,1,26,28,2,1,0,4
7511221,"KERALA","KOZHIKODE","KOZHIKKODE URC SOUTH",2,"Kozhikode_Municipal Corporations","Kinasseri",,,,5,3,5,12,1,673007,2,2,3,0,2,19,8,0,0,2,2,1,9,0,195,1,0,0,0,0,0,0
3902560,"KERALA","KOZHIKODE","KOZHIKODE URC",2,"Kozhikode_Municipal Corporations","Easthill",,,,5,3,5,12,1,673010,2,2,3,0,2,8,19,0,0,2,2,1,9,0,193,1,0,0,0,0,0,0
8364971,"KERALA","KOZHIKODE","KOZHIKODE URC",2,"Kozhikode_Municipal Corporations","Medical College",,,,3,3,1,12,1,673008,2,2,3,0,2,8,19,0,0,2,2,1,1,2,200,1,38,26,22,13,5,8
1396192,"KERALA","KOZHIKODE","KOZHIKKODE URC SOUTH",2,"Kozhikode_Municipal Corporations","Chalappuram",,,,7,3,5,10,1,673002,2,2,3,0,2,19,8,0,0,2,0,1,9,0,180,1,0,0,0,0,0,0
6226816,"KERALA","KOZHIKODE","KOZHIKKODE URC SOUTH",2,"Kozhikode_Municipal Corporations","Neduvattam",,,,2,3,1,7,1,673015,2,2,3,0,2,19,8,0,0,0,0,1,1,2,192,1,36,39,8,6,2,1
3493263,"KERALA","KOZHIKODE","THODANNUR",1,,,"Thiruvallur","Thiruvallur","THODANNUR",2,3,1,7,1,673542,2,2,3,0,2,8,0,0,0,0,0,1,2,2,192,1,0,0,3,0,0,0
3227989,"KERALA","KOZHIKODE","KOZHIKODE URC",2,"Kozhikode_Municipal Corporations","Moonalingal",,,,2,3,1,7,1,673032,2,2,3,0,2,8,19,0,0,0,0,1,1,2,191,1,3,1,1,1,1,1
6793404,"KERALA","KOZHIKODE","MAVOOR",1,,,"Kodiyathur","Kodiyathur","KUNNAMANGALAM",2,3,1,7,1,673639,2,2,3,0,2,8,19,0,0,0,0,1,1,2,0,1,17,16,1,0,0,0
1778183,"KERALA","KOZHIKODE","PANTHALAYANI",1,,,"Atholi (Ct)","Atholi","PANTHALAYANI",5,3,5,12,1,673315,2,2,3,0,2,19,8,0,0,2,2,1,9,0,200,1,0,0,0,0,0,0
4127744,"KERALA","KOZHIKODE","KOZHIKKODE URC SOUTH",2,"Kozhikode_Municipal Corporations","Kinasseri",,,,2,3,1,7,1,673007,2,2,3,0,2,19,8,0,0,0,0,1,1,2,195,2,20,25,13,5,0,0
2540629,"KERALA","KOZHIKODE","BALUSSERY",1,,,"Kinalur","Panangad","BALUSSERI",2,3,1,7,1,673612,2,2,3,0,2,8,0,0,0,0,0,1,2,2,195,1,0,0,5,3,9,5
8895866,"KERALA","KOZHIKODE","KOZHIKODE URC",2,"Kozhikode_Municipal Corporations","Puthiyappa",,,,3,3,1,12,1,673021,2,2,3,0,2,8,0,0,0,2,2,1,2,2,194,1,0,0,1,0,0,0
8782518,"KERALA","KOZHIKODE","KOZHIKKODE URC SOUTH",2,"Kozhikode_Municipal Corporations","Baypore port",,,,10,3,8,12,1,673015,2,2,2,1,2,8,19,0,0,2,2,1,9,0,0,1,0,0,0,0,0,0
1348319,"KERALA","KOZHIKODE","PANTHALAYANI",1,,,"Atholi (Ct)","Atholi","PANTHALAYANI",2,3,1,7,1,673315,2,2,3,0,2,19,8,0,0,0,0,1,1,2,195,1,39,32,5,13,0,3
3618149,"KERALA","KOZHIKODE","KUNNUMMAL",1,,,"Narippatta","Naripetta","KUNNUMMAL",2,3,1,5,4,673506,2,2,3,0,2,8,0,0,0,0,0,1,1,2,187,1,9,6,0,0,0,0
3804575,"KERALA","KOZHIKODE","BALUSSERY",1,,,"Unnikulam","Unnikulum","BALUSSERI",4,3,5,7,1,673574,2,2,3,0,2,8,19,0,0,0,0,1,9,0,0,1,0,0,0,0,0,0
1112451,"KERALA","KOZHIKODE","VATAKARA",1,,,"Onchiam","Onchiyam","VADAKARA",5,3,5,12,1,673102,2,2,3,0,2,8,19,0,0,2,2,1,9,0,0,1,0,0,0,0,0,0
3504869,"KERALA","KOZHIKODE","KODUVALLY",1,,,"Madavoor","Madavoor","KODUVALLY",2,3,1,7,1,673571,2,2,3,0,2,8,19,0,0,0,0,1,1,2,0,1,0,0,6,1,16,17
4347977,"KERALA","KOZHIKODE","KOZHIKKODE URC SOUTH",2,"Kozhikode_Municipal Corporations","Meenchanda",,,,6,3,1,10,5,673018,2,2,3,0,2,19,0,0,0,2,0,1,1,9,185,1,4,4,0,1,1,0
4165904,"KERALA","KOZHIKODE","KODUVALLY",2,"Koduvally_Municipality","Malipuram",,,,2,3,1,7,4,0,2,2,3,0,2,8,19,0,0,0,0,1,1,1,0,1,12,22,5,4,24,24
3237580,"KERALA","KOZHIKODE","KODUVALLY",1,,,"Kedavur","Kattippara","KODUVALLY",2,3,1,7,1,673573,2,2,3,0,2,8,19,0,0,0,0,1,1,2,195,1,10,6,5,3,2,2
6539936,"KERALA","KOZHIKODE","KOZHIKODE URC",2,"Kozhikode_Municipal Corporations","Vengeri",,,,3,3,1,12,1,673005,2,2,3,0,2,8,19,0,0,2,2,1,2,2,192,1,0,0,0,0,0,0
3123745,"KERALA","KOZHIKODE","BALUSSERY",1,,,"Kottur","Kottur","BALUSSERI",2,3,1,7,1,673614,2,2,3,0,2,8,19,0,0,0,0,1,1,2,0,1,6,4,8,6,14,16
6101666,"KERALA","KOZHIKODE","KOZHIKKODE URC SOUTH",2,"Kozhikode_Municipal Corporations","Chalappuram",,,,1,3,1,4,5,673002,2,2,3,0,2,19,0,0,0,0,0,1,1,9,0,1,14,21,10,5,0,0
9253465,"KERALA","KOZHIKODE","KOZHIKKODE URC SOUTH",2,"Kozhikode_Municipal Corporations","Azhchavattam",,,,5,3,5,12,1,673007,2,2,3,0,2,19,8,0,0,2,2,1,9,0,0,1,0,0,0,0,0,0
2559247,"KERALA","KOZHIKODE","KODUVALLY",1,,,"Kizhakkoth","Kizhakkoth","KODUVALLY",1,3,1,4,5,673572,2,2,3,0,2,19,8,0,0,0,0,1,1,9,200,1,5,8,1,3,0,0
6073695,"KERALA","KOZHIKODE","KOZHIKODE URC",2,"Kozhikode_Municipal Corporations","Medical College South",,,,2,3,1,7,5,673008,1,2,3,0,1,8,0,0,0,0,0,1,1,9,0,1,0,0,0,0,0,0
1353540,"KERALA","KOZHIKODE","PERAMBRA",1,,,"Menhaniam (Ct)","Perambra","PERAMBRA",2,3,1,7,1,673525,2,2,3,0,2,8,19,0,0,0,0,1,1,2,0,1,14,12,7,7,0,0
6057574,"KERALA","KOZHIKODE","VATAKARA",2,"Vatakara_Municipality","CHERUSSERY",,,,5,3,5,12,1,673104,2,2,3,0,2,8,19,0,0,2,2,1,9,0,196,1,0,0,0,0,0,0
7293975,"KERALA","KOZHIKODE","KODUVALLY",1,,,"Puthuppadi","Puthuppady","KODUVALLY",2,3,1,7,1,673586,2,2,3,0,2,8,19,0,0,0,0,1,2,2,185,1,0,0,2,2,21,14
6900531,"KERALA","KOZHIKODE","PANTHALAYANI",1,,,"Arikkulam (Part)","Arikulam","PANTHALAYANI",2,3,1,5,4,673524,2,2,3,0,2,19,8,0,0,0,0,1,1,2,189,1,14,19,5,2,0,0
5296469,"KERALA","KOZHIKODE","THODANNUR",1,,,"Ayancheri (Ct)","Ayancheri","THODANNUR",1,3,1,4,4,673542,2,2,3,0,2,8,0,0,0,0,0,1,1,1,196,1,0,0,0,0,0,0
7216798,"KERALA","KOZHIKODE","BALUSSERY",1,,,"Koorachundu","Koorachundu","BALUSSERI",2,3,1,7,8,673527,2,2,3,0,1,19,0,0,0,0,0,1,1,9,185,1,10,13,0,2,0,0
1689563,"KERALA","KOZHIKODE","VATAKARA",1,,,"Eramala (Ct)","Eramala","VADAKARA",2,3,1,7,5,673501,2,2,3,0,1,19,8,0,0,0,0,1,1,9,0,2,54,46,17,12,0,0
3922692,"KERALA","KOZHIKODE","THUNERI",1,,,"Vanimel","Vanimel","THUNERI",2,3,1,7,4,673506,2,2,3,0,2,8,19,0,0,0,0,1,1,2,0,1,21,27,5,3,11,7
7619862,"KERALA","KOZHIKODE","KUNNUMMAL",1,,,"Kunnummal (Ct)","Kunnumal","KUNNUMMAL",2,3,1,5,4,673507,2,2,3,0,2,8,19,0,0,0,0,1,1,2,187,1,12,15,0,0,4,1
4843053,"KERALA","KOZHIKODE","THUNERI",1,,,"Chekkiad (Ct)","Chekkiad","THUNERI",2,3,1,7,4,673509,2,2,3,0,2,8,19,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0
1471463,"KERALA","KOZHIKODE","PERAMBRA",1,,,"Menhaniam (Ct)","Perambra","PERAMBRA",2,3,1,7,4,673525,2,2,3,0,2,8,19,0,0,0,0,1,1,2,0,1,31,19,1,0,9,3
3720151,"KERALA","KOZHIKODE","MAVOOR",1,,,"Kuttikkattoor (Ct)","Peruvayal","KUNNAMANGALAM",2,3,1,7,5,673008,2,2,3,0,2,19,0,0,0,0,0,1,1,9,0,1,6,3,0,0,0,0
6620542,"KERALA","KOZHIKODE","CHELANNUR",1,,,"Narikkuni","Narikunni","CHELANNUR",2,3,1,7,4,673585,2,2,3,0,2,8,19,0,0,0,0,1,1,2,187,1,6,8,2,0,0,0
2780150,"KERALA","KOZHIKODE","THUNERI",1,,,"Edacheri (Ct)","Edacheri","THUNERI",2,3,1,7,4,673502,2,2,3,0,2,8,0,0,0,0,0,1,1,2,0,1,9,11,10,3,0,0
7010415,"KERALA","KOZHIKODE","CHELANNUR",1,,,"Chelannur (Ct)","Chelannur","CHELANNUR",2,3,1,7,8,673616,2,2,3,0,2,8,0,0,0,0,0,1,2,9,0,1,0,0,0,0,0,0
5246073,"KERALA","KOZHIKODE","MAVOOR",1,,,"Kodiyathur","Kodiyathur","KUNNAMANGALAM",2,3,1,7,4,673602,2,2,3,0,2,19,8,0,0,0,0,1,1,2,0,1,19,18,16,6,0,0
6832343,"KERALA","KOZHIKODE","VATAKARA",1,,,"Eramala (Ct)","Eramala","VADAKARA",2,3,1,7,8,673306,2,2,3,0,1,19,8,0,0,0,0,1,1,9,210,1,1,2,6,7,0,0
5364960,"KERALA","KOZHIKODE","MELADY",2,"Payyoli_Municipality","Payyoli Town",,,,2,3,1,7,8,673522,2,2,3,0,2,19,0,0,0,0,0,1,1,9,190,1,5,1,0,0,0,0
8220719,"KERALA","KOZHIKODE","BALUSSERY",1,,,"Sivapuram","Unnikulum","BALUSSERI",2,3,1,7,8,673612,2,2,3,0,2,19,0,0,0,0,0,1,1,9,0,1,14,18,1,0,0,0
4058846,"KERALA","KOZHIKODE","THODANNUR",1,,,"Kottappally (Ct)","Thiruvallur","THODANNUR",2,3,1,5,4,673542,2,2,3,0,2,8,0,0,0,0,0,1,1,2,187,1,3,3,0,1,3,0
2857019,"KERALA","KOZHIKODE","BALUSSERY",1,,,"Naduvannur (Ct)","Naduvannur","BALUSSERI",2,3,1,7,8,673620,2,2,3,0,2,19,0,0,0,0,0,1,1,9,187,1,33,22,1,2,0,0
9622319,"KERALA","KOZHIKODE","KOZHIKODE",2,"Ramanattukara_Municipality","Pallithazham",,,,2,3,1,7,8,673632,2,2,3,0,1,19,0,0,0,0,0,1,1,9,220,1,12,15,15,10,0,0
6833181,"KERALA","KOZHIKODE","VATAKARA",1,,,"Eramala (Ct)","Eramala","VADAKARA",2,3,1,7,4,673501,2,2,3,0,2,8,19,0,0,0,0,1,1,2,0,1,0,1,0,1,0,0
2747768,"KERALA","KOZHIKODE","MELADY",2,"Payyoli_Municipality","Aruvayil",,,,4,3,5,7,4,673521,2,2,3,0,2,8,19,0,0,0,0,1,9,0,0,1,0,0,0,0,0,0
3943910,"KERALA","KOZHIKODE","THODANNUR",1,,,"Maniyur (Ct)","Maniyur","THODANNUR",2,3,1,5,4,673541,2,2,3,0,2,8,0,0,0,0,0,1,1,2,0,1,7,4,0,0,1,3
9171047,"KERALA","KOZHIKODE","PERAMBRA",1,,,"Kayanna","Kayanna","PERAMBRA",2,3,1,7,4,673527,2,2,3,0,2,8,19,0,0,0,0,1,1,2,0,1,12,6,1,1,9,6
6659984,"KERALA","KOZHIKODE","KUNNUMMAL",1,,,"Kunnummal (Ct)","Kunnumal","KUNNUMMAL",2,3,1,7,5,673507,2,2,3,0,2,19,0,0,0,0,0,1,1,9,188,1,6,11,0,0,0,0
2105938,"KERALA","KOZHIKODE","THUNERI",1,,,"Thuneri (Ct)","Thuneri","THUNERI",2,3,1,7,4,673504,2,2,3,0,2,8,19,0,0,0,0,1,1,2,188,1,13,6,6,9,48,38
3293657,"KERALA","KOZHIKODE","KUNNAMANGALAM",1,,,"Kuruvattur (Ct)","Kuruvattur","KUNNAMANGALAM",2,3,1,7,8,673012,2,2,3,0,1,19,8,0,0,0,0,1,1,9,200,1,2,3,0,0,0,0
1931482,"KERALA","KOZHIKODE","KOZHIKODE URC",2,"Kozhikode_Municipal Corporations","Moozhikkal",,,,2,3,1,7,8,673571,2,2,3,0,1,19,0,0,0,0,0,1,1,9,0,1,11,10,4,5,0,0
1852909,"KERALA","KOZHIKODE","VATAKARA",2,"Vatakara_Municipality","CHEERAMVEEDU",,,,2,3,1,5,4,673105,2,2,3,0,2,8,19,0,0,0,0,1,1,2,0,1,5,3,0,0,0,0
2579827,"KERALA","KOZHIKODE","KOZHIKKODE URC SOUTH",2,"Kozhikode_Municipal Corporations","Puthiyara",,,,5,3,5,12,1,673004,2,2,3,0,2,8,19,0,0,2,2,1,9,0,193,1,0,0,0,0,0,0
